alpha,platform,target_type,AUC,F1-score,NDCG
0.5,Books,CTR,0.8718379261212668,0.8611738148984199,
0.5,Electronics,CVR_Classification,0.654768260278755,0.5934101606882,
0.5,Clothing,Interaction,,,0.8268
0.6,Books,CTR,0.8714316910670634,0.8622047244094487,
0.6,Electronics,CVR_Classification,0.6540404667502617,0.5947172257332685,
0.6,Clothing,Interaction,,,0.8166
0.7,Books,CTR,0.8694328983552981,0.8625245993815013,
0.7,Electronics,CVR_Classification,0.653124154212994,0.5903141361256544,
0.7,Clothing,Interaction,,,0.7952
0.8,Books,CTR,0.8704633279971303,0.8605307735742519,
0.8,Electronics,CVR_Classification,0.6536946392093064,0.5820771906576114,
0.8,Clothing,Interaction,,,0.7952
0.9,Books,CTR,0.8715848854819854,0.8629213483146068,
0.9,Electronics,CVR_Classification,0.6535910552126858,0.587171052631579,
0.9,Clothing,Interaction,,,0.8237
